Id-Player,Goals,Minutes,Altersklasse,Liga,Position,Vereinsname,Sex
818891,12,524,Jun.C,Junioren C 1. Stärkeklasse,"Mittelfeld defensiv, Sturmspitze",FC Zürich-Affoltern (11467),M
811098,12,900,Jun.C,Youth League C,"Mittelfeld, Mittelfeld linksinnen, Mittelfeld rechtsinnen, Sturmspitze links, hängende Spitze",FC Küsnacht (11030),M
785883,12,583,Jun.D,Junioren C 2. Stärkeklasse,"Mittelfeld linksaussen, Mittelsturm, Sturmspitze, Sturmspitze links",SC Hegi Winterthur (11267),M
61023,12,893,30+,Frauen 3. Liga,"Mittelfeld rechtsinnen, Sturmspitze rechts",SC Veltheim (11262),W
61636,12,1056,Aktiv,3. Liga,"Mittelfeld links, Mittelfeld linksaussen, Mittelfeld linksinnen, Mittelfeld rechts, Mittelfeld rechtsaussen, Sturmspitze, hängende Spitze",G.S.I. Rümlang 1964 (11064),M
1249962,12,694,Jun.C,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse","Sturmspitze links, Sturmspitze rechts",FC Wädenswil (11051),M
266383,12,765,Jun.C,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse","Ersatz (S), Flügel rechts, Sturmspitze, Sturmspitze links, Sturmspitze rechts, hängende Spitze",BC Albisrieden (11542),M
803562,12,622,Jun.B,Junioren B 2. Stärkeklasse,"Hängende Spitze rechts, Verteidigung rechts, hängende Spitze links",FC Weisslingen (11054),M
743955,12,810,Jun.C,Junioren C 1. Stärkeklasse,Mittelfeld rechtsinnen,FC Dielsdorf (11008),M
632790,12,630,Jun.C,Junioren C 1. Stärkeklasse,"Mittelfeld rechtsaussen, Mittelsturm, Sturmspitze",FC Räterschen (11039),M
604535,12,495,30+,"5. Liga, Senioren 30+","Ersatz (S), Sturmspitze rechts, Verteidigung linksaussen",FC Embrach (11266),M
20380,12,704,Jun.C,Junioren C 2. Stärkeklasse,"Mittelfeld linksinnen, Mittelfeld rechtsinnen",FC Bauma (11003),M
593765,12,810,Jun.C,Juniorinnen B,"Flügel links, Flügel rechts, Mittelfeld, Mittelfeld defensiv",SC Wipkingen ZH (11495),W
847332,12,630,30+,5. Liga,"Sturmspitze, Sturmspitze links",Inter Club Zurigo (11511),M
158839,12,777,Aktiv,5. Liga,"Mittelfeld, Mittelfeld defensiv links, Mittelfeld defensiv rechts",FC Brasil Suisse (11537),M
390761,12,1231,Jun.C,"Junioren A Promotion, Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse","Mittelfeld linksaussen, Sturmspitze links, Sturmspitze rechts",FC Glattfelden (11022),M
419505,12,528,Jun.C,Junioren C 2. Stärkeklasse,Flügel links,FC Beringen (11101),M
1238915,12,1034,Jun.B,"Junioren B 1. Stärkeklasse, Junioren B 2. Stärkeklasse","Flügel rechts, Mittelfeld, hängende Spitze",FC Affoltern a/A (11002),M
335698,12,313,Jun.C,Junioren C 2. Stärkeklasse,Sturmspitze,FC Witikon (11496),M
673184,12,1072,Jun.B,"Frauen 3. Liga, Junioren C 2. Stärkeklasse, Juniorinnen B","Ersatz (S), Mittelfeld linksinnen, Mittelfeld rechtsinnen",FC Embrach (11266),W
1324991,12,925,Jun.B,"Junioren A, Junioren B 1. Stärkeklasse, Junioren B 2. Stärkeklasse","Ersatz (S), Flügel links, Libero, Sturmspitze rechts",FC Embrach (11266),M
1215144,12,782,50+,"Senioren 40+ Promotion, Senioren 50+/7","Flügel links, Mittelfeld, Sturmspitze links, Sturmspitze rechts, hängende Spitze",FC Affoltern a/A (11002),M
1139399,12,953,Jun.C,"Junioren B 1. Stärkeklasse, Junioren C 2. Stärkeklasse","Ersatz (S), Flügel links, Innenverteidigung rechts, Mittelfeld linksinnen, Mittelfeld rechtsaussen, Sturmspitze rechts, Tor, Verteidigung links, Verteidigung linksaussen, Verteidigung rechtsaussen",FC Hausen a/A (11080),M
711884,12,586,Jun.C,"Junioren C 2. Stärkeklasse, Junioren C Promotion","Ersatz (S), Flügel links, Flügel rechts, Mittelfeld rechtsaussen, Sturmspitze",FC Tössfeld (11261),M
1322826,12,487,Jun.C,Junioren C 2. Stärkeklasse,"Sturmspitze, Sturmspitze rechts",FC Beringen (11101),M
750441,11,747,Jun.C,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse","Sturmspitze rechts, hängende Spitze",FC Effretikon (11502),M
1347496,11,723,Aktiv,5. Liga,"Mittelsturm, Sturmspitze links, Sturmspitze rechts",FC Italia Zurigo (11493),M
1161129,11,350,40+,Senioren 40+ (7/7),"Mittelfeld rechtsaussen, Mittelfeld rechtsinnen",FC Horgen (11024),M
1172651,11,990,Jun.A,Frauen 2. Liga,"Sturmspitze, Sturmspitze links",FC Kloten (11028),W
1256607,11,746,Jun.C,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse","Mittelfeld linksinnen, Mittelfeld rechtsinnen, Sturmspitze",FC Töss (11260),M
932636,11,385,40+,Senioren 40+,hängende Spitze,FC Galatasaray (11518),M
782581,11,411,Jun.C,Juniorinnen C,"Ersatz (S), Hängende Spitze rechts, Mittelfeld linksaussen, Sturmspitze, Sturmspitze links",FC Wädenswil (11051),W
1357127,11,706,Jun.D,Juniorinnen C,"Mittelfeld links, Mittelfeld rechts, hängende Spitze",SC Veltheim (11262),W
818422,11,525,Jun.C,Juniorinnen C,"Mittelsturm, Sturmspitze links, Sturmspitze rechts",FC Meilen (11034),W
922680,11,810,Jun.D,Junioren C 2. Stärkeklasse,"Flügel links, Flügel rechts, Innenverteidigung rechts, Mittelfeld defensiv rechts, Mittelfeld rechts, Sturmspitze, hängende Spitze",FC Dielsdorf (11008),M
247555,11,556,Jun.C,Junioren C 2. Stärkeklasse,"Mittelfeld rechts, Mittelfeld rechtsaussen, Sturmspitze links, Sturmspitze rechts",FC Stammheim (11269),M
241539,11,477,Jun.C,Junioren C 2. Stärkeklasse,"Ersatz (S), Flügel links, Innenverteidigung links, Sturmspitze, Sturmspitze links, hängende Spitze",FC Beringen (11101),M
246284,11,650,Jun.C,U-16 (Frauen),"Flügel links, Flügel rechts",FC Oerlikon/Polizei ZH (11544),W
212983,11,514,Jun.B,Junioren B 1. Stärkeklasse,Sturmspitze links,FC Beringen (11101),M
200523,11,472,Jun.C,Junioren C 1. Stärkeklasse,"Flügel links, Flügel rechts, Mittelfeld, Sturmspitze",FC Stäfa 1895 (11047),M
1183890,11,473,Aktiv,5. Liga,"Flügel links, Mittelfeld links, Mittelsturm, Sturmspitze links",FC Blau-Weiss Erlenbach (11710),M
189738,11,280,50+,Senioren 50+/7,"Mittelfeld, Mittelfeld links, Mittelfeld rechtsinnen, Sturmspitze",FC Fällanden (11017),M
1128264,11,889,30+,2. Liga,Mittelfeld,SC Veltheim (11262),M
