Id-Player,Liga,Vereinsname
456170,"Junioren B 1. Stärkeklasse, Junioren B 2. Stärkeklasse",FC Gossau (11076)
1031583,Junioren C Promotion,SC Veltheim (11262)
271490,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse",US Avellino Zurigo (11522)
193673,"4. Liga, Junioren B 1. Stärkeklasse",FC Egg (11012)
968366,"4. Liga, 5. Liga, Senioren 30+",Sporting Club Schaffhausen (11114)
1205218,Junioren C 2. Stärkeklasse,FC Engstringen (11015)
1393014,3. Liga,G.S.I. Rümlang 1964 (11064)
202950,"Juniorinnen B, Juniorinnen C",FC Rüti (11044)
1361293,"Junioren B 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Hausen a/A (11080)
304895,Junioren C 2. Stärkeklasse,FC Witikon (11496)
480395,Frauen 4. Liga,FC Hinwil (11023)
603621,"Junioren B 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Bosna Zürich (11541)
1179341,"2. Liga, 3. Liga",FC Phönix Seen (11258)
431438,4. Liga,FC Schwamendingen (11487)
478456,Juniorinnen C,FC Meilen (11034)
615111,"3. Liga, Junioren B 1. Stärkeklasse",FC Wetzikon (11055)
544791,4. Liga,Club Reggina Svizzera (11272)
117823,"Juniorinnen B, Juniorinnen C",FC Herrliberg (11057)
17831,Juniorinnen C,FC Meilen (11034)
1245519,Junioren C 2. Stärkeklasse,FC Töss (11260)
1233270,4. Liga,FC Neftenbach (11062)
1003171,Junioren C Promotion,SC Veltheim (11262)
1073439,"4. Liga, 5. Liga, Senioren 30+",Sporting Club Schaffhausen (11114)
1093611,Juniorinnen B,FC Wallisellen (11053)
32769,Senioren 30+,FC Ellikon Marthalen (11014)
731745,4. Liga,FC Männedorf (11033)
737685,Juniorinnen B,FC Birmensdorf (11004)
1121438,"3. Liga, 5. Liga",FC Maur (11065)
239897,Junioren C 1. Stärkeklasse,FC Effretikon (11502)
678237,"Frauen 4. Liga, Juniorinnen B",FC Horgen (11024)
1170128,Junioren C Promotion,FC Niederweningen (11068)
1060240,Junioren B Promotion,FC Herrliberg (11057)
980733,Juniorinnen C,FC Küsnacht (11030)
1110963,4. Liga,FC Effretikon (11502)
936086,3. Liga,FC Glattfelden (11022)
928218,"Juniorinnen B, Juniorinnen C",FC Rafzerfeld (11100)
1254476,Junioren C 2. Stärkeklasse,FC Stein am Rhein (11107)
234752,"Junioren B 2. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Birmensdorf (11004)
1365587,4. Liga,FC United Zürich (11517)
176011,Junioren B 1. Stärkeklasse,FC Schwamendingen (11487)
1324215,"4. Liga, Junioren B Promotion",FC Oerlikon/Polizei ZH (11544)
427315,"Junioren B 1. Stärkeklasse, Junioren C Promotion",FC Wetzikon (11055)
461877,Junioren C 2. Stärkeklasse,FC Schwerzenbach (11077)
69690,"5. Liga, Junioren B 1. Stärkeklasse",SC Wipkingen ZH (11495)
587350,Senioren 50+/7,AC Palermo (11514)
558956,4. Liga,FC Männedorf (11033)
538897,"4. Liga, Senioren 30+",FC Meilen (11034)
470736,Junioren C 2. Stärkeklasse,FC Beringen (11101)
371587,Junioren C 2. Stärkeklasse,FC Stein am Rhein (11107)
275704,Juniorinnen C,FC Witikon (11496)
