Vereinsname,Cant_Player,Cant_Goal,Altersklasse
FC Maur (11065),90,64,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
NK Croatia ZH (11524),50,62,"30+, 40+, 50+, Aktiv, Jun.B"
FC Russikon (11074),57,61,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B"
FC Neumünster (11481),43,60,"30+, Aktiv, Jun.A"
Inter Club Zurigo (11511),73,58,"30+, 40+, Aktiv, Jun.A"
NK Hajduk ZH (11533),41,56,"30+, 40+, Aktiv, Jun.B"
FC Knonau-Mettmenstetten (11083),72,55,"30+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Neunkirch (11109),89,52,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C"
FR Soccer (11071),39,51,"Jun.C, Jun.D"
FC Rot Weiss Winikon (11085),43,51,"Jun.B, Jun.C, Jun.D"
FC Galatasaray (11518),60,48,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B"
AC Palermo (11514),18,48,50+
FC Zürich (11499),70,46,"30+, 40+, 50+"
Club Reggina Svizzera (11272),22,45,"30+, Aktiv, Jun.A, Jun.B"
FC Schleitheim (11111),50,42,"30+, Aktiv, Jun.A, Jun.B, Jun.C"
FC Hard Zürich (11506),73,42,"30+, 40+, 50+, Aktiv, Jun.A"
G.S.I. Rümlang 1964 (11064),25,39,"30+, Aktiv, Jun.A"
FC Dardanët Schaffhausen (11123),50,37,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B"
FC Lohn (11112),31,35,"Jun.B, Jun.C, Jun.D"
FC Albania (11545),47,35,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B"
FC Schaffhausen (11105),29,33,Jun.C
FC Hakoah ZH (11477),45,32,"30+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Blau-Weiss Erlenbach (11710),24,28,"30+, Aktiv, Jun.A, Jun.B"
FC Mezopotamya (11546),25,28,"30+, 40+, Aktiv, Jun.A, Jun.B"
US Virtus Badolato (11559),72,27,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Lionem ZH (11551),21,26,"Jun.C, Jun.D"
VFC Neuhausen 90 (11103),26,26,"30+, Aktiv, Jun.A, Jun.B"
FC Ramsen (11038),46,25,"30+, 40+, Aktiv, Jun.A, Jun.B"
FC Italia Zurigo (11493),31,25,"30+, Aktiv, Jun.A, Jun.B"
FC Büsingen (11902),53,24,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B"
CCD Lautaro-Chile (11525),23,23,"30+, 40+, 50+, Aktiv, Jun.A"
FC Newborn (11117),26,22,"30+, 40+, 50+"
FC Esperanza ZH (11561),35,21,"30+, 40+, Aktiv, Jun.A, Jun.B"
SC Hedingen (11119),22,21,"30+, Aktiv, Jun.B"
SC Post Winterthur (11259),34,21,"30+, 40+, 50+"
FC Hellas (11526),32,21,"30+, 40+, Aktiv, Jun.A"
FC Rämibühl Zürich (11553),32,20,"30+, Aktiv, Jun.A, Jun.B"
FC Kollbrunn-Rikon (11029),47,17,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B"
FC Winterthur (11263),27,16,"30+, 40+"
Unione Sportiva Calabrese (11009),13,14,50+
FC Boca Zürich (11458),25,14,"30+, Aktiv, Jun.B"
FFC Lionesses (11456),20,12,"40+, Jun.A, Jun.B, Jun.C"
FC Augwil (11255),23,9,"30+, Aktiv, Jun.A, Jun.B"
Benfica Clube de Zurique (11536),27,9,"30+, 40+, Aktiv, Jun.A, Jun.B"
FC Turkuaz Zürich (11535),25,8,"30+, 40+, Aktiv, Jun.A, Jun.B"
FC KB (11557),15,1,"30+, 50+"
